Acc Id,Action,Amount
81,Withdraw,9731
141,Withdraw,8906.47
926,Withdraw,7271.03
429,Withdraw,5959.16
980,Withdraw,9432.21
42,Deposit,7071.92
322,Withdraw,8491.97
786,Deposit,8461.73
110,Deposit,3807.47
499,Deposit,2191.44
911,Withdraw,7040.04
511,Withdraw,1205.54
705,Withdraw,1418.59
768,Deposit,7157.31
215,Deposit,6140.41
753,Deposit,631.3
423,Deposit,9102.2
275,Withdraw,6831.39
875,Deposit,5836.12
790,Withdraw,390.25
752,Deposit,8126.6
524,Withdraw,3511.88
511,Deposit,4551.7
866,Deposit,7890.97
824,Withdraw,4717.45
659,Deposit,9038.1
436,Deposit,5247.04
865,Deposit,4901.19
331,Deposit,6446.73
600,Withdraw,473.79
859,Withdraw,9648.5
509,Deposit,4725.69
303,Withdraw,262.28
655,Deposit,927.65
112,Withdraw,9285.31
577,Withdraw,7539.35
342,Deposit,3146.21
375,Deposit,4335.14
936,Withdraw,7155.77
157,Withdraw,5868.79
922,Deposit,4047.58
260,Deposit,2881.28
907,Withdraw,7900.26
883,Withdraw,975.41
228,Withdraw,4758.11
877,Deposit,470.31
169,Withdraw,1043.36
355,Withdraw,5173.24
936,Withdraw,4213.71
650,Withdraw,414.66
864,Deposit,1278.47
617,Withdraw,9381.92
517,Deposit,7986.04
863,Deposit,9210.67
713,Deposit,589.61
710,Withdraw,7767.36
980,Withdraw,1686.32
246,Deposit,7539.26
803,Deposit,8941.61
833,Deposit,1788.51
833,Deposit,1850.74
811,Deposit,869.78
575,Deposit,9809.52
72,Deposit,7691.75
206,Deposit,667.83
695,Deposit,9037.88
41,Deposit,1555.24
332,Deposit,9522.3
387,Withdraw,6502.03
251,Withdraw,6088.99
56,Deposit,801.92
34,Deposit,8439.04
954,Deposit,4132.58
169,Withdraw,7404.29
643,Withdraw,5971.98
341,Deposit,8101.49
497,Deposit,7670.35
596,Withdraw,220.2
116,Deposit,2477.06
111,Withdraw,5212.62
902,Withdraw,115.46
319,Deposit,6943.71
750,Deposit,6282.77
691,Deposit,4660.98
612,Withdraw,7740.57
578,Withdraw,4155.42
621,Deposit,5061.49
619,Deposit,3120.19
710,Withdraw,2194.4
718,Withdraw,7302.35
407,Withdraw,921.86
711,Deposit,7359.23
493,Deposit,7357.36
362,Withdraw,8892.09
884,Withdraw,5540.02
966,Deposit,4315.32
285,Deposit,6715.01
478,Withdraw,482.02
74,Deposit,510.61
744,Deposit,6006.79
136,Withdraw,9285.14
572,Withdraw,4398.44
811,Withdraw,2662.88
844,Deposit,3645.35
880,Withdraw,2999.52
497,Withdraw,9287.54
497,Deposit,2276.38
968,Deposit,893.84
307,Deposit,2926.97
102,Withdraw,3640.23
286,Withdraw,294.2
270,Withdraw,634.04
973,Withdraw,5790.57
147,Withdraw,6373.01
113,Deposit,3273.4
137,Deposit,5365.89
580,Withdraw,8722.9
92,Deposit,2337.55
962,Deposit,1124.63
45,Withdraw,2327.89
742,Withdraw,3797.91
607,Deposit,4698.84
844,Withdraw,1148.56
587,Withdraw,4978.04
400,Withdraw,3327.75
654,Withdraw,8729.3
360,Deposit,7404.85
922,Withdraw,6336.5
682,Withdraw,3612.53
15,Withdraw,7076.12
146,Deposit,4129.44
900,Deposit,8681.69
704,Deposit,8652.37
62,Deposit,7868.41
838,Deposit,8947.04
329,Deposit,5901.63
974,Withdraw,2677.76
974,Withdraw,4477.23
135,Withdraw,4280.21
986,Withdraw,2661.41
77,Deposit,5691.73
842,Deposit,4261.6
248,Withdraw,6932.78
491,Deposit,9083.35
893,Deposit,8402.74
879,Deposit,9403.2
26,Deposit,2499.64
491,Withdraw,3345.54
177,Withdraw,3966.45
430,Withdraw,4716.81
806,Deposit,7213.46
8,Withdraw,2544.26
120,Deposit,8170.52
969,Deposit,1961.91
594,Withdraw,9336.81
253,Withdraw,2373.14
354,Withdraw,8359.14
907,Deposit,368.79
896,Deposit,8912.31
149,Deposit,112.76
12,Withdraw,9538.17
875,Withdraw,7185.16
618,Withdraw,7707
586,Withdraw,7259.92
511,Withdraw,3781.34
766,Deposit,1220.25
6,Withdraw,1190.06
177,Deposit,2860.85
957,Withdraw,1370.99
156,Deposit,59.61
141,Deposit,2845.57
230,Deposit,7251.78
577,Deposit,5928.47
108,Withdraw,2032.09
580,Withdraw,8762.94
365,Withdraw,3494.08
535,Deposit,1732.71
613,Deposit,2342.84
426,Deposit,4641.27
235,Deposit,9183.46
104,Withdraw,350.43
801,Deposit,5529.26
251,Withdraw,9754.1
871,Withdraw,8371.94
869,Withdraw,3449.48
706,Deposit,7179.33
717,Deposit,9.51
74,Withdraw,3757.31
958,Deposit,2105.81
706,Deposit,25.87
674,Withdraw,5573.95
363,Deposit,3838.17
852,Withdraw,423.69
968,Withdraw,2116.67
328,Withdraw,2514.61
662,Deposit,5773.83
518,Deposit,6151.16
65,Withdraw,4529.97
34,Withdraw,8381.36
691,Deposit,6279.32
978,Withdraw,9319.38
591,Withdraw,8284.56
689,Withdraw,9578.26
376,Withdraw,760.08
571,Withdraw,7912
35,Withdraw,2591.47
117,Deposit,4627.67
763,Deposit,5595.61
901,Withdraw,3484.98
498,Withdraw,7430.14
993,Deposit,2577.36
500,Deposit,8303.71
255,Deposit,9199.1
691,Deposit,6439.79
647,Deposit,3327.58
692,Withdraw,212.59
112,Deposit,1601.41
143,Withdraw,3993.23
605,Deposit,7164.97
787,Deposit,5711.08
541,Withdraw,261.89
511,Withdraw,9189.63
984,Deposit,1123.78
652,Withdraw,4196.92
633,Deposit,1394.61
341,Withdraw,9821.26
113,Withdraw,6597.49
509,Deposit,4750.46
562,Deposit,3307.14
28,Withdraw,8391.21
92,Deposit,7731.74
17,Withdraw,7534.01
428,Deposit,5759.47
590,Deposit,815.34
884,Withdraw,2164.53
301,Withdraw,4183.79
588,Deposit,6931.53
490,Deposit,5172.66
276,Deposit,4557.3
435,Deposit,6585.5
247,Withdraw,1753.74
613,Deposit,7879.03
632,Deposit,8849.93
483,Deposit,1466.75
612,Deposit,6556.32
691,Withdraw,2285.07
106,Deposit,223.77
407,Withdraw,9818.1
497,Withdraw,1139.11
788,Withdraw,457.02
872,Withdraw,553.97
626,Deposit,4423.22
499,Withdraw,1837.15
415,Deposit,126.44
